ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-09-08,3081.6576124041235,2954.0963700446214,7655.172773351565,3081.6576124041235,3081.6576124041235,2204.85838258824,2204.85838258824,2204.85838258824,2204.85838258824,2204.85838258824,2204.85838258824,0.0,0.0,0.0,5286.515994992364
2014-09-15,3087.2385772925595,4693.343618792445,9092.163409188288,3087.2385772925595,3087.2385772925595,3729.1227355696496,3729.1227355696496,3729.1227355696496,3729.1227355696496,3729.1227355696496,3729.1227355696496,0.0,0.0,0.0,6816.361312862209
2014-09-22,3092.819542180995,4594.241354450741,9105.659408981734,3092.819542180995,3092.819542180995,3719.358867468054,3719.358867468054,3719.358867468054,3719.358867468054,3719.358867468054,3719.358867468054,0.0,0.0,0.0,6812.178409649049
2014-09-29,3098.4005074715114,2740.968588277687,7235.64436809584,3098.4005074715114,3098.4005074715114,1944.1467356429662,1944.1467356429662,1944.1467356429662,1944.1467356429662,1944.1467356429662,1944.1467356429662,0.0,0.0,0.0,5042.547243114477
2014-10-06,3103.981472762028,439.3803381958007,4712.96443133459,3103.981472762028,3103.981472762028,-537.0118847965001,-537.0118847965001,-537.0118847965001,-537.0118847965001,-537.0118847965001,-537.0118847965001,0.0,0.0,0.0,2566.969587965528
2014-10-13,3109.562438052544,-1114.109077624985,3356.6610779339276,3109.562438052544,3109.562438052544,-2040.1284046559535,-2040.1284046559535,-2040.1284046559535,-2040.1284046559535,-2040.1284046559535,-2040.1284046559535,0.0,0.0,0.0,1069.4340333965906
2014-10-20,3115.1434033430605,-528.2396513390548,3753.3203664504354,3115.1434033430605,3115.1434033430605,-1549.7206130585264,-1549.7206130585264,-1549.7206130585264,-1549.7206130585264,-1549.7206130585264,-1549.7206130585264,0.0,0.0,0.0,1565.4227902845341
2014-10-27,3120.7243686335764,1387.3126187335438,5823.155816483319,3120.7243686335764,3120.7243686335764,496.23034564301355,496.23034564301355,496.23034564301355,496.23034564301355,496.23034564301355,496.23034564301355,0.0,0.0,0.0,3616.95471427659
2014-11-03,3126.3053338388168,3592.4792922644842,8028.30026730576,3126.3053338388168,3126.3053338388168,2636.5898932167274,2636.5898932167274,2636.5898932167274,2636.5898932167274,2636.5898932167274,2636.5898932167274,0.0,0.0,0.0,5762.895227055544
2014-11-10,3131.886299044057,4553.822967629025,8990.252588957619,3131.886299044057,3131.886299044057,3623.45567746256,3623.45567746256,3623.45567746256,3623.45567746256,3623.45567746256,3623.45567746256,0.0,0.0,0.0,6755.341976506617
